0,1,2,3
SyncTwin,0.119,0.109,0.148
SC,0.149,0.138,0.26
MC-NNM,0.226,0.345,0.775
CFRNet,0.139,0.158,0.241
1NN,1.614,1.636,1.813
GP,0.561,0.563,0.554
RSC,0.321,0.322,0.322
CRN,0.273,0.363,0.458
